,Unnamed: 0_x,fips_str,ep_pov,ep_bipoc,ep_carless,ep_overcrowd,risk_score,Unnamed: 0_y,pop
302,62861,42003515200,0.1947472745292368,0.3721506442021803,0.0960989533777355,0.0,0.2271906364168841,62861,2018
21,62580,42003080200,0.2570969469737547,0.1328334226031066,0.2215628090999011,0.0,0.2271607770378451,62580,1867
139,62698,42003425000,0.2774685027834749,0.1283328450043949,0.1938405797101449,0.0,0.2225660002421491,62698,3413
130,62689,42003417200,0.2133655394524959,0.0314009661835748,0.2191780821917808,0.015,0.2219310477196496,62689,1242
30,62589,42003101100,0.2605439495467087,0.1505715411903823,0.101933216168717,0.01,0.2209655582437112,62589,2537
314,62873,42003521301,0.2430990489445604,0.2806773370447692,0.1042510121457489,0.006,0.220759104660759,62873,4311
329,62888,42003523800,0.2347958297132928,0.2413119026933101,0.1376811594202898,0.004,0.2186950604317941,62888,4604
75,62634,42003241300,0.1665702718334297,0.2530364372469635,0.1943342776203966,0.006,0.2186014144342644,62634,3458
49,62608,42003140500,0.1151804670912951,0.4145435244161359,0.1072436500470366,0.0,0.214061003668982,62608,1884
144,62703,42003427000,0.2146875925377554,0.1214095350903168,0.2237890864500306,0.0,0.2081362995846612,62703,3377
26,62585,42003090100,0.175108538350217,0.2185238784370477,0.1798561151079136,0.0,0.2054222661654272,62585,2073
326,62885,42003523600,0.1060667752442996,0.4269136807817589,0.0815370196813495,0.0,0.204116772533671,62885,4912
45,62604,42003140100,0.0879372343903236,0.3494606080418437,0.1583493282149712,0.001,0.2037687277779731,62604,6118
56,62615,42003151700,0.1518601341736125,0.230331368164261,0.1889061287820015,0.0,0.2037187894505877,62615,4919
201,62760,42003464300,0.2005371530886302,0.1700984780662489,0.186,0.006,0.2026820741394382,62760,3351
310,62869,42003520001,0.1470872224010299,0.3607981976182813,0.0870393900889453,0.0,0.2016569042558921,62869,3107
66,62625,42003191400,0.1539728283244133,0.1597365170852202,0.2342158859470468,0.0,0.2007378383918135,62625,2429
